# Funput English lexicon: word<TAB>rank, most frequent first. Generated; do not edit.
# Words: SCOWL/ESDB size 60, American. Ranking: Google Books Ngram v3, 2000-2019.
# Attribution: NOTICE.md. Regenerate: crates/funput-lexicon-tool/README.md.
hours	619
levels	620
six	621
near	622
basis	623
longer	624
attention	625
run	626
products	627
written	628
continued	629
ask	630
answer	631
below	632
increased	633
started	634
months	635
move	636
inside	637
America	638
start	639
European	640
greater	641
environment	642
legal	643
site	644
simply	645
text	646
organization	647
British	648
situation	649
disease	650
product	651
developed	652
else	653
member	654
capital	655
shows	656
difficult	657
bank	658
committee	659
commission	660
price	661
lost	662
generally	663
step	664
cells	665
military	666
middle	667
music	668
methods	669
patient	670
seems	671
fire	672
writing	673
lot	674
consider	675
factors	676
beyond	677
received	678
thinking	679
authority	680
street	681
actually	682
loss	683
involved	684
industry	685
morning	686
forms	687
talk	688
pay	689
page	690
books	691
association	692
works	693
rest	694
feet	695
indeed	696
alone	697
road	698
image	699
oh	700
limited	701
purpose	702
respect	703
particularly	704
modern	705
car	706
code	707
parents	708
friends	709
million	710
movement	711
final	712
coming	713
content	714
additional	715
trying	716
direct	717
minutes	718
sound	719
simple	720
list	721
east	722
college	723
reading	724
costs	725
nor	726
poor	727
provides	728
global	729
average	730
lead	731
pressure	732
impact	733
getting	734
region	735
complete	736
established	737
followed	738
appropriate	739
create	740
try	741
points	742
towards	743
fig	744
individuals	745
added	746
wife	747
ed	748
types	749
town	750
complex	751
focus	752
la	753
context	754
earth	755
events	756
basic	757
bring	758
network	759
defined	760
distribution	761
behavior	762
positive	763
herself	764
union	765
news	766
deep	767
led	768
friend	769
species	770
meet	771
earlier	772
parts	773
environmental	774
requirements	775
river	776
programs	777
beginning	778
stop	779
influence	780
post	781
included	782
china	783
letter	784
whom	785
critical	786
difference	787
status	788
French	789
hear	790
hope	791
hold	792
remember	793
recent	794
maybe	795
myself	796
tried	797
reported	798
stage	799
media	800
pain	801
expected	802
dark	803
meaning	804
cross	805
box	806
truth	807
primary	808
published	809
agreement	810
religious	811
original	812
bad	813
article	814
Jesus	815
meeting	816
share	817
team	818
except	819
staff	820
June	821
address	822
bed	823
normal	824
presence	825
clearly	826
workers	827
stood	828
computer	829
hair	830
object	831
march	832
sea	833
contact	834
follow	835
statement	836
oil	837
materials	838
ability	839
dead	840
gone	841
ten	842
police	843
civil	844
forward	845
everyone	846
green	847
applied	848
sent	849
expression	850
cut	851
lives	852
girl	853
agency	854
council	855
wall	856
week	857
created	858
solution	859
moved	860
directly	861
volume	862
sat	863
kept	864
construction	865
met	866
processes	867
Washington	868
companies	869
lines	870
trust	871
relations	872
allow	873
elements	874
flow	875
protection	876
re	877
comes	878
wide	879
communication	880
David	881
county	882
unit	883
discussion	884
seem	885
justice	886
quickly	887
twenty	888
condition	889
title	890
James	891
investment	892
July	893
degree	894
student	895
choice	896
western	897
Europe	898
record	899
arms	900
throughout	901
temperature	902
feeling	903
models	904
planning	905
administration	906
historical	907
claim	908
notice	909
reference	910
proposed	911
reached	912
fall	913
rates	914
deal	915
presented	916
floor	917
bit	918
spirit	919
determined	920
fine	921
army	922
former	923
phase	924
mass	925
co	926
base	927
direction	928
distance	929
benefits	930
stay	931
despite	932
safety	933
cold	934
features	935
takes	936
assessment	937
scale	938
paid	939
length	940
entire	941
prior	942
phone	943
event	944
literature	945
parties	946
easy	947
mark	948
district	949
previous	950
wrong	951
ideas	952
exchange	953
continue	954
India	955
professional	956
happened	957
Paul	958
England	959
forces	960
sources	961
web	962
ready	963
concept	964
offer	965
active	966
character	967
appear	968
add	969
standards	970
weight	971
labor	972
notes	973
director	974
